nct_id,sponsor_raw,drug_raw,phase,status,condition,start_date,completion_date,sponsor_key,drug_key,ticker,generic_name,brand_name,manufacturer_name,route,product_type,is_public_pharma,sponsor_type
NCT01670084,Mayo Clinic,doxorubicin hydrochloride,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,doxorubicin,,DOXORUBICIN HYDROCHLORIDE,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,vincristine sulfate,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,vincristine,,VINCRISTINE SULFATE,VinCRIStine Sulfate,"Hospira, Inc.",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,methotrexate,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,methotrexate,,METHOTREXATE,METHOTREXATE,Alembic Pharmaceuticals Inc.,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,cytarabine,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,cytarabine,,CYTARABINE,Cytarabine,Meitheal Pharmaceuticals Inc.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,prednisone,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,prednisone,,PREDNISONE,PredniSONE,A-S Medication Solutions,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,mesna,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,mesna,,MESNA,MESNEX,Bamboo US Bidco LCC,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,dexamethasone,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,dexamethasone,,DEXAMETHASONE,Dexamethasone,"Advanced Rx Pharmacy of Tennessee, LLC",ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT01670084,Mayo Clinic,leucovorin calcium,PHASE2,WITHDRAWN,"B-cell Adult Acute Lymphoblastic Leukemia; Blastic Phase Chronic Myelogenous Leukemia; Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia; Untreated Adult Acute Lymphoblastic Leukemia",2012-12-01,2017-09-01,MAYO CLINIC,leucovorin calcium,,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,Mylan Institutional LLC,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT06362252,Daiichi Sankyo,Ifinatamab deruxtecan,PHASE1,RECRUITING,Extensive Stage-small Cell Lung Cancer,2024-07-22,2026-12-30,DAIICHI SANKYO,ifinatamab deruxtecan,DSNKY,,,,,,True,Public pharma
NCT06362252,Daiichi Sankyo,Atezolizumab,PHASE1,RECRUITING,Extensive Stage-small Cell Lung Cancer,2024-07-22,2026-12-30,DAIICHI SANKYO,atezolizumab,DSNKY,ATEZOLIZUMAB,TECENTRIQ,"Genentech, Inc.",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT06362252,Daiichi Sankyo,Carboplatin,PHASE1,RECRUITING,Extensive Stage-small Cell Lung Cancer,2024-07-22,2026-12-30,DAIICHI SANKYO,carboplatin,DSNKY,CARBOPLATIN,CARBOPLATIN,Apotex Corp.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT06757647,Seema Bhat,Acalabrutinib,PHASE2,RECRUITING,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,2025-05-27,2027-12-31,SEEMA BHAT,acalabrutinib,,ACALABRUTINIB,CALQUENCE,AstraZeneca Pharmaceuticals LP,ORAL,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT00008047,GERCOR - Multidisciplinary Oncology Cooperative Group,fluorouracil,PHASE1,UNKNOWN,Esophageal Cancer,1999-08-01,,GERCOR MULTIDISCIPLINARY ONCOLOGY COOPERATIVE GROUP,fluorouracil,,FLUOROURACIL,FLUOROURACIL,Mayne Pharma Inc.,TOPICAL,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT00008047,GERCOR - Multidisciplinary Oncology Cooperative Group,hydroxyurea,PHASE1,UNKNOWN,Esophageal Cancer,1999-08-01,,GERCOR MULTIDISCIPLINARY ONCOLOGY COOPERATIVE GROUP,hydroxyurea,,HYDROXYUREA,HYDROXYUREA,"Golden State Medical Supply, Inc.",ORAL,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT00008047,GERCOR - Multidisciplinary Oncology Cooperative Group,paclitaxel,PHASE1,UNKNOWN,Esophageal Cancer,1999-08-01,,GERCOR MULTIDISCIPLINARY ONCOLOGY COOPERATIVE GROUP,paclitaxel,,PACLITAXEL,Paclitaxel,Alembic Pharmaceuticals Inc.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,"Other (biotech, private, etc.)"
NCT00991952,National Cancer Institute (NCI),alvocidib,PHASE2,COMPLETED,Adenocarcinoma of the Gastroesophageal Junction; Diffuse Adenocarcinoma of the Stomach; Intestinal Adenocarcinoma of the Stomach; Mixed Adenocarcinoma of the Stomach; Recurrent Gastric Cancer; Stage IIIA Gastric Cancer; Stage IIIB Gastric Cancer; Stage IIIC Gastric Cancer; Stage IV Gastric Cancer,2009-09-01,2014-04-01,NATIONAL CANCER INSTITUTE NCI,alvocidib,,,,,,,False,Academic / medical / govt
